sR,sH,value
0.5,-76.75,0.014406821379649411
0.5,-76.25,0.010090507929424997
0.5,-75.75,-0.006136773764117032
0.5,-75.25,-0.0026026741702311414
0.5,-74.75,0.02693177108474079
0.5,-74.25,-0.006452574499157276
0.5,-73.75,0.012360233577736787
0.5,-73.25,0.0026742468188608215
0.5,-72.75,0.015008809519170177
0.5,-72.25,0.0021014134929796527
0.5,-71.75,8.173742382799531e-4
0.5,-71.25,0.002766476251040621
1.5,-75.75,0
1.5,-75.25,0.08786268575829972
1.5,-74.75,0.023424067532080074
1.5,-74.25,0.11809317796805119
1.5,-73.75,0.05807317049240722
1.5,-73.25,0
1.5,-72.75,4.0899468824942976e-4
1.5,-72.25,0.010720532348215104
1.5,-71.75,0.0035032084280072714
1.5,-71.25,0.007656224785372649
