type,position,absorbedDoseRatemGyperh,relUnc,absorbedDoseRateToWhat,absorbedDoseRateRefDate
cosms,1B,32.87516358493235,0.005156751883098475,water for the whole-setup,2013-02-20T11:00:00Z
cosms,1T,27.53805267359049,9.363980682441306e-4,water for the whole-setup,2013-02-20T11:00:00Z
cosms,2L,13.121406780380108,0.003086791011871163,water for the whole-setup,2013-02-20T11:00:00Z
cosms,2R,12.247000194748065,0.0036187016815129257,water for the whole-setup,2013-02-20T11:00:00Z
cosms,3L,2.8214024863726386,0.012567549409822023,water for the whole-setup,2013-02-20T11:00:00Z
cosms,3LC,2.887247200965517,0.013303407698976257,water for the whole-setup,2013-02-20T11:00:00Z
cosms,3RC,2.874627410051195,0.015145623591636322,water for the whole-setup,2013-02-20T11:00:00Z
cosms,3R,2.427835725108428,0.009150165275942208,water for the whole-setup,2013-02-20T11:00:00Z
cosms,4BL,1.16162274090031,0.009934457888609718,water for the whole-setup,2013-02-20T11:00:00Z
cosms,4BC,1.187595790897716,0.0067495809776622106,water for the whole-setup,2013-02-20T11:00:00Z
cosms,4BR,1.1885348551792623,0.02183890404688516,water for the whole-setup,2013-02-20T11:00:00Z
cosms,4TL,1.1136445576171763,0.021055768383709757,water for the whole-setup,2013-02-20T11:00:00Z
cosms,4TC,1.1839720853626752,0.017514191414256388,water for the whole-setup,2013-02-20T11:00:00Z
cosms,4TR,1.152699545498354,0.016062724083962383,water for the whole-setup,2013-02-20T11:00:00Z
