rotation,exposurestart,exposurestop
10.10.,2016-10-11T18:41:00+02:00,2016-10-12T13:45:00+02:00
10.10.,2016-10-12T14:07:00+02:00,2016-10-12T14:21:00+02:00
10.10.,2016-10-12T14:23:00+02:00,2016-10-12T15:34:00+02:00
10.10.,2016-10-12T15:41:00+02:00,2016-10-13T08:51:00+02:00
10.10.,2016-10-13T11:28:00+02:00,2016-10-13T16:14:00+02:00
13.10.,2016-10-13T19:52:00+02:00,2016-10-17T09:50:00+02:00
13.10.,2016-10-17T11:52:00+02:00,2016-10-20T10:01:00+02:00
13.10.,2016-10-20T12:00:00+02:00,2016-10-20T13:35:00+02:00
13.10.,2016-10-20T14:42:00+02:00,2016-10-20T16:02:00+02:00
20.10.,2016-10-20T19:45:00+02:00,2016-10-24T09:39:00+02:00
20.10.,2016-10-24T11:48:00+02:00,2016-10-27T09:25:00+02:00
20.10.,2016-10-27T12:49:00+02:00,2016-10-27T15:52:00+02:00
27.10.,2016-10-27T19:36:00+02:00,2016-10-31T13:50:00+01:00
27.10.,2016-10-31T15:32:00+01:00,2016-10-31T17:23:00+01:00
27.10.,2016-10-31T18:23:00+01:00,2016-10-31T20:24:00+01:00
27.10.,2016-10-31T21:26:00+01:00,2016-10-31T21:56:00+01:00
27.10.,2016-10-31T21:58:00+01:00,2016-11-01T08:32:00+01:00
