serial,type,rotation,position,point,plane
DN07802666U,cosms,controls,0C,na,na
04020G,cosms,controls,0CCd,na,na
04774J,cosms,nano1,1T,center,front
11306T,cosms,nano1,1T,center,back
11306T,cosms,nano2,1T,upperleftcorner,back
DN10005071X,cosms,nano1,1T,upperleftcorner,front
DN07802666U,cosms,nano1,1T,upperrightcorner,front
00835P,cosms,nano1,1B,center,front
05656F,cosms,nano1,1B,center,back
DN10202502T,cosms,nano1,1B,lowerleftcorner,front
DN101028298,cosms,nano1,1B,lowerrightcorner,front
DN10302721O,cosms,nano2,1B,lowerrightcorner,back
DN10602082R,cosms,nano2,1B,lowerleftcorner,back
46007X,cosms,nano2,1T,upperrightcorner,back
DN10005071X,cosms,nano2,2L,lowerleftcorner,back
DN10202502T,cosms,nano2,2L,lowerleftcorner,front
DN101028298,cosms,nano2,2L,upperleftcorner,back
45960O,cosms,nano2,2L,upperleftcorner,front
07930R,cosms,nano1,2L,center,front
45880O,cosms,nano1,2L,center,back
00841W,cosms,nano1,2R,center,front
47516L,cosms,nano1,2R,center,back
DN10302721O,cosms,nano1,2R,upperrightcorner,front
DN107018293,cosms,nano1,2R,lowerrightcorner,front
517014,cosms,nano2,2R,upperrightcorner,back
00835P,cosms,nano2,3L,lowerleftcorner,front
05656F,cosms,nano2,3R,lowerrightcorner,front
45880O,cosms,nano2,3L,upperleftcorner,front
00841W,cosms,nano2,3R,upperrightcorner,front
07864I,cosms,nano1,3L,center,front
198639,cosms,nano1,3L,center,back
04020G,cosms,nano1,3LC,center,front
517014,cosms,nano1,3LC,center,back
DN10202521T,cosms,nano1,3RC,center,front
DN10602082R,cosms,nano1,3RC,center,back
421242,cosms,nano1,3R,center,front
46007X,cosms,nano1,3R,center,back
04774J,cosms,nano2,4BL,center,front
07930R,cosms,nano2,4BR,center,front
47516L,cosms,nano2,4TR,center,front
198639,cosms,nano2,4TL,center,front
DN10202521T,cosms,nano2,4BC,center,front
421242,cosms,nano2,4TC,center,front
