serial,rotation,preExposureReading,postExposureReading,quantity,unit
04774J,nano1,0.185,18.906,air kerma rate,mGy
04774J,nano2,0.182,1.872,air kerma rate,mGy
11306T,nano1,0.064,16.757,air kerma rate,mGy
11306T,nano2,0.129,27.693,air kerma rate,mGy
DN10005071X,nano1,0.206,12.626,air kerma rate,mGy
DN10005071X,nano2,0.185,17.914,air kerma rate,mGy
DN07802666U,nano1,0.195,12.927,air kerma rate,mGy
DN07802666U,controls,0.175,0.166,air kerma rate,mGy
00835P,nano1,0.132,23.063,air kerma rate,mGy
00835P,nano2,0.143,4.547,air kerma rate,mGy
05656F,nano1,0.052,20.134,air kerma rate,mGy
05656F,nano2,0.156,2.766,air kerma rate,mGy
DN10202502T,nano1,0.188,22.483,air kerma rate,mGy
DN10202502T,nano2,0.174,20.339,air kerma rate,mGy
DN101028298,nano1,0.159,22.122,air kerma rate,mGy
DN101028298,nano2,0.134,17.858,air kerma rate,mGy
45960O,nano2,0.172,18.865,air kerma rate,mGy
07930R,nano1,0.053,8.422,air kerma rate,mGy
07930R,nano2,0.108,1.779,air kerma rate,mGy
45880O,nano1,0.139,7.867,air kerma rate,mGy
45880O,nano2,0.158,4.793,air kerma rate,mGy
00841W,nano1,0.184,8.586,air kerma rate,mGy
00841W,nano2,0.169,3.552,air kerma rate,mGy
47516L,nano1,0.155,7.565,air kerma rate,mGy
47516L,nano2,0.182,1.824,air kerma rate,mGy
DN10302721O,nano1,0.208,6.142,air kerma rate,mGy
DN10302721O,nano2,0.192,43.812,air kerma rate,mGy
DN107018293,nano1,0.176,6.682,air kerma rate,mGy
07864I,nano1,0.059,2.236,air kerma rate,mGy
198639,nano1,0.054,2.113,air kerma rate,mGy
198639,nano2,0.064,1.776,air kerma rate,mGy
04020G,nano1,0.167,2.33,air kerma rate,mGy
04020G,controls,0.161,0.161,air kerma rate,mGy
517014,nano1,0.203,2.169,air kerma rate,mGy
517014,nano2,0.184,15.597,air kerma rate,mGy
DN10202521T,nano1,0.155,2.291,air kerma rate,mGy
DN10202521T,nano2,0.157,1.943,air kerma rate,mGy
DN10602082R,nano1,0.175,2.182,air kerma rate,mGy
DN10602082R,nano2,0.171,44.71,air kerma rate,mGy
421242,nano1,0.197,2.06,air kerma rate,mGy
421242,nano2,0.2,1.749,air kerma rate,mGy
46007X,nano1,0.185,2.059,air kerma rate,mGy
46007X,nano2,0.182,27.348,air kerma rate,mGy
