type,position,wholesetupAbsorbedDoseRatemGyperh,absorbedDoseToWhat
cosms,1B,30.96418012991764,water
cosms,1T,22.085352585853894,water
cosms,2L,12.24434384598626,water
cosms,2R,11.526346636774157,water
cosms,3L,2.615146272213372,water
cosms,3LC,2.670227247141032,water
cosms,3RC,2.7127109209264746,water
cosms,3R,2.305019294287612,water
cosms,4BL,1.0627357169800677,water
cosms,4BC,1.1318610536872458,water
cosms,4BR,1.0867648760445896,water
cosms,4TL,1.0393701139400293,water
cosms,4TC,1.1167415948293256,water
cosms,4TR,1.0731067817559603,water
