iX,iY,iZ,kerma,wkerma
-10.5,98,196.8,1014.93882098787,28.809346208791922
11.5,144,1016.3,52.99034361037564,1.1176755333737138
-10.5,98,206.8,973.370176068966,27.680604822189242
-17.5,105,206.8,711.164141535813,17.65929162611224
-17.5,105,196.8,715.6076813244197,15.748140716257172
4.5,68,326.3,669.0233293882387,12.631307900087279
-3.5,105,196.8,725.2428703175009,15.634552116089166
-10.5,75,196.8,1926.984333196193,35.981885421782586
4.5,94,641.3,158.35639909704344,3.382657346028525
-10.5,75,206.8,1734.3443726585876,32.50826011955933
82.5,94,641.3,120.14591901360018,2.2402089243887535
-17.5,68,196.8,1784.129637956026,33.281852860368836
4.5,68,316.3,709.2549293688542,13.232021964255244
-3.5,68,196.8,1810.355235430661,33.740849038750746
4.5,82,326.3,646.187808074451,13.174851849728146
4.5,82,316.3,680.4810315872691,13.902988451813085
11.5,75,316.3,728.8680190673678,13.60886938998219
54.5,144,1016.3,51.5672728928285,1.1345497445413757
11.5,75,326.3,693.8510599286573,13.09625613788609
4.5,108,641.3,144.0398951787746,3.032261706181295
32.5,75,316.3,722.1859702761038,13.600311586531939
82.5,108,641.3,108.61888671271298,2.092615261614033
32.5,75,326.3,684.9784205204445,12.763670658745768
54.5,167,1016.3,48.72028060050679,1.2184233009287586
39.5,82,316.3,569.6957012213292,10.2515809643341
-3.5,68,206.8,1639.1059608282192,30.604954294130863
39.5,68,316.3,594.622673041434,10.190305423215428
11.5,101,641.3,151.49921003861462,3.2624136540405617
11.5,101,651.3,145.2113964105426,3.124596114881357
11.5,167,1016.3,45.847620851651065,1.139112404836847
32.5,101,641.3,147.97237420930963,3.091078470544284
32.5,101,651.3,143.0075545927503,2.981186458886409
39.5,82,326.3,560.6365498180558,10.638807832177397
54.5,101,641.3,150.42580026465654,2.947549565557241
32.5,144,1016.3,55.120511208639904,1.2570114450333179
54.5,101,651.3,141.3339729449288,2.9594136356711918
-17.5,68,206.8,1622.3048954588578,30.42958630742305
75.5,101,641.3,132.19812456877708,2.6972368628917605
32.5,167,1016.3,49.75843826054672,1.1977924042128987
75.5,101,651.3,135.75254938236725,2.6551213714227773
-3.5,105,206.8,726.820724363439,17.657434393873377
